,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
49,Brunei,,Bandar Seri Begawan,,,flag-brunei.png,,map-brunei.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
50,Bulgaria,,Sofia,,,flag-bulgaria.png,,map-bulgaria.png,UG::Europe UG::European_Union UG::Sovereign_State
51,Burkina Faso,,Ouagadougou,,,flag-burkina_faso.png,,map-burkina_faso.png,UG::Africa UG::Sovereign_State UG::West_Africa
52,Burundi,,Gitega,Official capital was moved from Bujumbura to Gitega in 2019.,,flag-burundi.png,,map-burundi.png,UG::Africa UG::East_Africa UG::Sovereign_State
53,Cambodia,,Phnom Penh,,,flag-cambodia.png,,map-cambodia.png,UG::Asia UG::Southeast_Asia UG::Sovereign_State
54,Cameroon,,Yaoundé,,,flag-cameroon.png,"Senegal (green/yellow/red, green star)",map-cameroon.png,UG::Africa UG::Sovereign_State
55,Canada,,Ottawa,,,flag-canada.png,,map-canada.png,UG::North_America UG::Sovereign_State
56,Canary Islands,Autonomous community of Spain.,"Santa Cruz de Tenerife, Las Palmas",The capital is shared between the two cities of Santa Cruz de Tenerife and Las Palmas.,,flag-canary_islands.png,,map-canary_islands.png,UG::Africa
57,Cape Verde,Also known as Cabo Verde.,Praia,,,flag-cape_verde.png,,map-cape_verde.png,UG::Africa UG::Sovereign_State UG::West_Africa
58,Caribbean Sea,,,,,,,map-caribbean_sea.png,UG::Oceans+Seas
59,Caspian Sea,,,,,,,map-caspian_sea.png,UG::Oceans+Seas
60,Cayman Islands,Overseas territory of the United Kingdom.,George Town,,Not a sovereign country,flag-cayman_islands.png,,map-cayman_islands.png,UG::Caribbean UG::North_America
61,Celtic Sea,,,,,,,map-celtic_sea.png,UG::Oceans+Seas
62,Central African Republic,,Bangui,,,flag-central_african_republic.png,,map-central_african_republic.png,UG::Africa UG::Sovereign_State
63,Ceuta,Autonomous city of Spain.,,,,flag-ceuta.png,,map-ceuta.png,UG::Europe
64,Chad,,N'Djamena,,,flag-chad.png,Romania (slightly lighter blue),map-chad.png,UG::Africa UG::Sovereign_State
65,Chile,,Santiago,,,flag-chile.png,,map-chile.png,UG::South_America UG::Sovereign_State
66,China,,Beijing,,,flag-china.png,,map-china.png,UG::Asia UG::Sovereign_State
67,Christmas Island,External territory of Australia.,Flying Fish Cove,,,flag-christmas_island.png,,map-christmas_island.png,UG::Asia UG::Southeast_Asia
68,Cocos (Keeling) Islands,External territory of Australia.,West Island,,,flag-cocos_islands.png,,map-cocos_islands.png,UG::Asia UG::Southeast_Asia
69,Colombia,,Bogotá,,,flag-colombia.png,Ecuador (with coat of arms),map-colombia.png,UG::South_America UG::Sovereign_State
70,Comoros,,Moroni,,,flag-comoros.png,,map-comoros.png,UG::Africa UG::East_Africa UG::Sovereign_State
71,Cook Islands,,Avarua,,,flag-cook_islands.png,,map-cook_islands.png,UG::Oceania UG::Sovereign_State
72,Coral Sea,,,,,,,map-coral_sea.png,UG::Oceans+Seas
73,Corsica,Region of France.,Ajaccio,,,flag-corsica.png,,map-corsica.png,UG::Europe
74,Costa Rica,,San José,,,flag-costa_rica.png,,map-costa_rica.png,UG::North_America UG::Sovereign_State
75,Croatia,,Zagreb,,,flag-croatia.png,,map-croatia.png,UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
76,Cuba,,Havana,,,flag-cuba.png,"Puerto Rico (blue triangle, red stripes)",map-cuba.png,UG::Caribbean UG::North_America UG::Sovereign_State
77,Curaçao,Constituent country of the Kingdom of the Netherlands.,Willemstad,,,flag-curacao.png,Nauru (single star below yellow band),map-curacao.png,UG::Caribbean UG::North_America
78,Cyprus,,Nicosia,,,flag-cyprus.png,,map-cyprus.png,UG::Asia UG::European_Union UG::Mediterranean UG::Middle_East UG::Sovereign_State
79,Czech Republic,Also known as Czechia.,Prague,,,flag-czech_republic.png,,map-czech_republic.png,UG::Europe UG::European_Union UG::Sovereign_State
80,Dead Sea,,,,,,,map-dead_sea.png,UG::Oceans+Seas
81,Democratic Republic of the Congo,Formerly Zaire.,Kinshasa,,,flag-democratic_republic_of_the_congo.png,,map-democratic_republic_of_the_congo.png,UG::Africa UG::Sovereign_State
82,Denmark,,Copenhagen,,,flag-denmark.png,,map-denmark.png,UG::Europe UG::European_Union UG::Sovereign_State
83,Denmark Strait,,,,,,,map-denmark_strait.png,UG::Oceans+Seas
84,Djibouti,,Djibouti,,,flag-djibouti.png,,map-djibouti.png,UG::Africa UG::East_Africa UG::Sovereign_State
85,Dominica,,Roseau,,,flag-dominica.png,,map-dominica.png,UG::Caribbean UG::North_America UG::Sovereign_State
86,Dominican Republic,,Santo Domingo,,,flag-dominican_republic.png,,map-dominican_republic.png,UG::Caribbean UG::North_America UG::Sovereign_State
87,East Siberian Sea,,,,,,,map-east_siberian_sea.png,UG::Oceans+Seas
