,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
132,Oman,,Muscat,,,"<img src=""ug-flag-oman.svg"" />",,"<img src=""ug-map-oman.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
133,Nepal,,Kathmandu,,,"<img src=""ug-flag-nepal-nobox.svg"" />",,"<img src=""ug-map-nepal.png"" />",UG::Asia UG::Sovereign_State
134,Palestine,,Ramallah,,,"<img src=""ug-flag-palestine.svg"" />","Sudan (green arrow, red stripe)","<img src=""ug-map-palestine.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
135,Pakistan,,Islamabad,,,"<img src=""ug-flag-pakistan.svg"" />",,"<img src=""ug-map-pakistan.png"" />",UG::Asia UG::Sovereign_State
136,Qatar,,Doha,,,"<img src=""ug-flag-qatar.svg"" />","Bahrain (narrower, fewer serrated edges, red)","<img src=""ug-map-qatar.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
137,Saudi Arabia,,Riyadh,,,"<img src=""ug-flag-saudi_arabia.svg"" />",,"<img src=""ug-map-saudi_arabia.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
138,Singapore,,Singapore,,,"<img src=""ug-flag-singapore.svg"" />",,"<img src=""ug-map-singapore.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
139,Syria,,Damascus,,,"<img src=""ug-flag-syria.svg"" />","Egypt (emblem instead of stars), Iraq (text instead of stars), Yemen (no stars)","<img src=""ug-map-syria.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
140,Taiwan,Partially recognised state claimed by China.,Taipei,,,"<img src=""ug-flag-taiwan.svg"" />",,"<img src=""ug-map-taiwan.png"" />",UG::Asia UG::Sovereign_State
141,Sri Lanka,,Sri Jayawardenepura Kotte,"Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.",,"<img src=""ug-flag-sri_lanka.svg"" />",,"<img src=""ug-map-sri_lanka.png"" />",UG::Asia UG::Sovereign_State
142,Tajikistan,,Dushanbe,,,"<img src=""ug-flag-tajikistan.svg"" />",,"<img src=""ug-map-tajikistan.png"" />",UG::Asia UG::Sovereign_State
143,Thailand,,Bangkok,,,"<img src=""ug-flag-thailand.svg"" />",,"<img src=""ug-map-thailand.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
144,East Timor,Also known as Timor-Leste.,Dili,,,"<img src=""ug-flag-east_timor.svg"" />",,"<img src=""ug-map-east_timor.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
145,United Arab Emirates,,Abu Dhabi,,,"<img src=""ug-flag-united_arab_emirates.svg"" />",,"<img src=""ug-map-united_arab_emirates.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
146,Turkmenistan,,Ashgabat,,,"<img src=""ug-flag-turkmenistan.svg"" />",,"<img src=""ug-map-turkmenistan.png"" />",UG::Asia UG::Sovereign_State
147,Yemen,,Sana'a,,,"<img src=""ug-flag-yemen.svg"" />","Egypt (with emblem), Iraq (with text), Syria (with two stars)","<img src=""ug-map-yemen.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
148,Vietnam,,Hanoi,,,"<img src=""ug-flag-vietnam.svg"" />",,"<img src=""ug-map-vietnam.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
149,Uzbekistan,,Tashkent,,,"<img src=""ug-flag-uzbekistan.svg"" />",,"<img src=""ug-map-uzbekistan.png"" />",UG::Asia UG::Sovereign_State
150,Fiji,,Suva,,,"<img src=""ug-flag-fiji.svg"" />",,"<img src=""ug-map-fiji.png"" />",UG::Oceania UG::Sovereign_State
151,Papua New Guinea,,Port Moresby,,,"<img src=""ug-flag-papua_new_guinea.svg"" />",,"<img src=""ug-map-papua_new_guinea.png"" />",UG::Oceania UG::Sovereign_State
152,Australia,,Canberra,,,"<img src=""ug-flag-australia.svg"" />","New Zealand (red stars, two fewer stars)","<img src=""ug-map-australia.png"" />",UG::Oceania UG::Sovereign_State
153,Solomon Islands,,Honiara,,,"<img src=""ug-flag-solomon_islands.svg"" />",,"<img src=""ug-map-solomon_islands.png"" />",UG::Oceania UG::Sovereign_State
154,Argentina,,Buenos Aires,,,"<img src=""ug-flag-argentina.svg"" />",,"<img src=""ug-map-argentina.png"" />",UG::South_America UG::Sovereign_State
155,Bolivia,,Sucre,"While Sucre is the constitutional capital, La Paz is the seat of government.",,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />",Ghana (star instead of coat of arms),"<img src=""ug-map-bolivia.png"" />",UG::South_America UG::Sovereign_State
156,Brazil,,Brasilia,,,"<img src=""ug-flag-brazil.svg"" />",,"<img src=""ug-map-brazil.png"" />",UG::South_America UG::Sovereign_State
