,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
245,South Ossetia,Independent state claimed by Georgia.,Tskhinvali,,,"<img src=""ug-flag-south_ossetia.svg"" />",,"<img src=""ug-map-south_ossetia.png"" />",UG::Asia UG::Sovereign_State
246,Tokelau,Dependent territory of New Zealand. Tokelau has no official capital; the meeting place of the Tokelau Council rotates annually.,,,,"<img src=""ug-flag-tokelau.svg"" />",,"<img src=""ug-map-tokelau.png"" />",UG::Oceania
247,American Samoa,Unincorporated territory of the United States.,Pago Pago,,,"<img src=""ug-flag-american_samoa.svg"" />",,"<img src=""ug-map-american_samoa.png"" />",UG::Oceania
248,Northern Mariana Islands,Unincorporated territory of the United States.,Saipan,,,"<img src=""ug-flag-northern_mariana_islands.svg"" />",,"<img src=""ug-map-northern_mariana_islands.png"" />",UG::Oceania
249,Aruba,Constituent country of the Kingdom of the Netherlands.,Oranjestad,,Constituent country,"<img src=""ug-flag-aruba.svg"" />",,"<img src=""ug-map-aruba.png"" />",UG::Caribbean UG::North_America
250,Abkhazia,Independent state claimed by Georgia.,Sukhumi,,,"<img src=""ug-flag-abkhazia.svg"" />",,"<img src=""ug-map-abkhazia.png"" />",UG::Europe UG::Sovereign_State
251,Sint Maarten,Constituent country of the Kingdom of the Netherlands.,Philipsburg,,,"<img src=""ug-flag-sint_maarten.svg"" />",,"<img src=""ug-map-sint_maarten.png"" />",UG::Caribbean UG::North_America
252,Republic of Artsakh,"Independent state claimed by Azerbaijan, formerly known as Nagorno-Karabakh.",Stepanakert,,,"<img src=""ug-flag-republic_of_artsakh.svg"" />",,"<img src=""ug-map-republic_of_artsakh.png"" />",UG::Asia UG::Sovereign_State
253,Tonga,,Nuku'alofa,,,"<img src=""ug-flag-tonga.svg"" />",,"<img src=""ug-map-tonga.png"" />",UG::Oceania UG::Sovereign_State
254,Transnistria,Independent state claimed by Moldova.,Tiraspol,,,"<img src=""ug-flag-transnistria.svg"" />",,"<img src=""ug-map-transnistria.png"" />",UG::Europe UG::Sovereign_State
255,Sardinia,Autonomous region of Italy.,Cagliari,,,"<img src=""ug-flag-sardinia.svg"" />",,"<img src=""ug-map-sardinia.png"" />",UG::Europe
256,Kaliningrad Oblast,Oblast (administrative region) of the Russian Federation.,Kaliningrad,,,"<img src=""ug-flag-kaliningrad_oblast.svg"" />",,"<img src=""ug-map-kaliningrad_oblast.png"" />",UG::Europe
257,Martinique,Overseas department of France.,Fort-de-France,,,,,"<img src=""ug-map-martinique.png"" />",UG::Caribbean UG::North_America
258,Java,Island of Indonesia.,,,,,,"<img src=""ug-map-java.png"" />",UG::Asia
259,Corsica,Region of France.,Ajaccio,,,"<img src=""ug-flag-corsica.svg"" />",,"<img src=""ug-map-corsica.png"" />",UG::Europe
260,European Union,,Brussels,"Brussels is the seat of the executive branch, but the European Union has institutions in other European cities.",Not a sovereign country,"<img src=""ug-flag-european_union.svg"" />",,"<img src=""ug-map-european_union.png"" />",UG::Europe
261,Gulf of Mexico,,,,,,,"<img src=""ug-map-gulf_of_mexico.png"" />",UG::Oceans+Seas
262,Philippine Sea,,,,,,,"<img src=""ug-map-philippine_sea.png"" />",UG::Oceans+Seas
263,Southern Ocean,,,,,,,"<img src=""ug-map-southern_ocean-nobox.png"" />",UG::Oceans+Seas
264,Gulf of Thailand,Also known as the Gulf of Siam.,,,,,,"<img src=""ug-map-gulf_of_thailand.png"" />",UG::Oceans+Seas
265,Micronesia,Subregion of Oceania comprising thousands of small islands in the western Pacific Ocean.,,,,,,"<img src=""ug-map-micronesia.png"" />",UG::Oceania
266,Pacific Ocean,,,,,,,"<img src=""ug-map-pacific_ocean-nobox.png"" />",UG::Oceans+Seas
267,Atlantic Ocean,,,,,,,"<img src=""ug-map-atlantic_ocean-nobox.png"" />",UG::Oceans+Seas
268,Indian Ocean,,,,,,,"<img src=""ug-map-indian_ocean-nobox.png"" />",UG::Oceans+Seas
269,Arctic Ocean,,,,,,,"<img src=""ug-map-arctic_ocean-nobox.png"" />",UG::Oceans+Seas
270,Hudson Bay,,,,,,,"<img src=""ug-map-hudson_bay.png"" />",UG::Oceans+Seas
271,Labrador Sea,,,,,,,"<img src=""ug-map-labrador_sea.png"" />",UG::Oceans+Seas
272,White Sea,,,,,,,"<img src=""ug-map-white_sea.png"" />",UG::Oceans+Seas
273,Denmark Strait,,,,,,,"<img src=""ug-map-denmark_strait.png"" />",UG::Oceans+Seas
274,Norwegian Sea,,,,,,,"<img src=""ug-map-norwegian_sea.png"" />",UG::Oceans+Seas
275,Baltic Sea,,,,,,,"<img src=""ug-map-baltic_sea.png"" />",UG::Oceans+Seas
276,Celtic Sea,,,,,,,"<img src=""ug-map-celtic_sea.png"" />",UG::Oceans+Seas
277,English Channel,,,,,,,"<img src=""ug-map-english_channel.png"" />",UG::Oceans+Seas
278,Adriatic Sea,,,,,,,"<img src=""ug-map-adriatic_sea.png"" />",UG::Oceans+Seas
279,Bay of Biscay,,,,,,,"<img src=""ug-map-bay_of_biscay.png"" />",UG::Oceans+Seas
280,Black Sea,,,,,,,"<img src=""ug-map-black_sea.png"" />",UG::Oceans+Seas
281,Aegean Sea,,,,,,,"<img src=""ug-map-aegean_sea.png"" />",UG::Oceans+Seas
282,Balkan Peninsula,,,,,,,"<img src=""ug-map-balkan_peninsula.png"" />",UG::Europe
283,Caspian Sea,,,,,,,"<img src=""ug-map-caspian_sea.png"" />",UG::Oceans+Seas
284,Mediterranean Sea,,,,,,,"<img src=""ug-map-mediterranean_sea.png"" />",UG::Oceans+Seas
285,East Siberian Sea,,,,,,,"<img src=""ug-map-east_siberian_sea.png"" />",UG::Oceans+Seas
286,Bering Strait,,,,,,,"<img src=""ug-map-bering_strait.png"" />",UG::Oceans+Seas
287,Arabian Sea,,,,,,,"<img src=""ug-map-arabian_sea.png"" />",UG::Oceans+Seas
288,Red Sea,,,,,,,"<img src=""ug-map-red_sea.png"" />",UG::Oceans+Seas
289,Dead Sea,,,,,,,"<img src=""ug-map-dead_sea.png"" />",UG::Oceans+Seas
290,Bay of Bengal,,,,,,,"<img src=""ug-map-bay_of_bengal.png"" />",UG::Oceans+Seas
291,Sea of Japan,"A naming dispute exists between the sea's bordering countries, with South Korea notably supporting the name East Sea.",,,,,,"<img src=""ug-map-sea_of_japan.png"" />",UG::Oceans+Seas
292,Yellow Sea,,,,,,,"<img src=""ug-map-yellow_sea.png"" />",UG::Oceans+Seas
293,Coral Sea,,,,,,,"<img src=""ug-map-coral_sea.png"" />",UG::Oceans+Seas
294,South China Sea,,,,,,,"<img src=""ug-map-south_china_sea.png"" />",UG::Oceans+Seas
295,Tasman Sea,,,,,,,"<img src=""ug-map-tasman_sea.png"" />",UG::Oceans+Seas
296,Gulf of Carpentaria,,,,,,,"<img src=""ug-map-gulf_of_carpentaria.png"" />",UG::Oceans+Seas
297,Aral Sea,,,,,,,"<img src=""ug-map-aral_sea.png"" />",UG::Oceans+Seas
298,Persian Gulf,,,,,,,"<img src=""ug-map-persian_gulf.png"" />",UG::Oceans+Seas
299,Caribbean Sea,,,,,,,"<img src=""ug-map-caribbean_sea.png"" />",UG::Oceans+Seas
300,Gulf of California,Also known as the Sea of Cortez.,,,,,,"<img src=""ug-map-gulf_of_california.png"" />",UG::Oceans+Seas
301,Polynesia,Subregion of Oceania comprising thousands of small islands in the central and southern Pacific Ocean.,,,,,,"<img src=""ug-map-polynesia.png"" />",UG::Oceania
302,Melanesia,"Subregion of Oceania, which includes the four countries of Vanuatu, the Solomon Islands, Fiji, and Papua New Guinea.",,,,,,"<img src=""ug-map-melanesia.png"" />",UG::Oceania
303,Scandinavia,"Historical and cultural region in Northern Europe, which includes the countries of Denmark, Norway and Sweden, and sometimes Finland and Iceland.",,,,,,"<img src=""ug-map-scandinavia.png"" />",UG::Europe
304,Sea of Galilee,,,,,,,"<img src=""ug-map-sea_of_galilee.png"" />",UG::Oceans+Seas
305,Sumatra,Island of Indonesia.,,,,,,"<img src=""ug-map-sumatra.png"" />",UG::Asia
306,Mount Athos,"Autonomous orthodox monastic state in northeastern Greece, also known as the Holy Mountain.",Karyes,,,"<img src=""ug-flag-mount_athos.png"" />",,"<img src=""ug-map-mount_athos.png"" />",UG::Europe
307,Sicily,Autonomous region of Italy.,Palermo,,,"<img src=""ug-flag-sicily.svg"" />",,"<img src=""ug-map-sicily.png"" />",UG::Europe
308,Mayotte,Overseas department of France.,Mamoudzou,,,,,"<img src=""ug-map-mayotte.png"" />",UG::Africa UG::East_Africa
309,Réunion,Overseas department of France.,Saint-Denis,,,,,"<img src=""ug-map-reunion.png"" />",UG::Africa UG::East_Africa
310,British Indian Ocean Territory,Overseas territory of the United Kingdom.,Camp Justice,,,"<img src=""ug-flag-british_indian_ocean_territory.svg"" />",,"<img src=""ug-map-british_indian_ocean_territory.png"" />",UG::Africa
311,Falkland Islands,Overseas territory of the United Kingdom.,Stanley,,,"<img src=""ug-flag-falkland_islands.svg"" />",,"<img src=""ug-map-falkland_islands.png"" />",UG::South_America
312,Europe,,,,,,,"<img src=""ug-map-europe-nobox.png"" />",UG::Continents
313,North America,,,,,,,"<img src=""ug-map-north_america-nobox.png"" />",UG::Continents
314,South America,,,,,,,"<img src=""ug-map-south_america-nobox.png"" />",UG::Continents
315,Asia,,,,,,,"<img src=""ug-map-asia-nobox.png"" />",UG::Continents
316,Africa,,,,,,,"<img src=""ug-map-africa-nobox.png"" />",UG::Continents
317,Oceania,,,,,,,"<img src=""ug-map-oceania-nobox.png"" />",UG::Continents
318,Antarctica,,,,,,,"<img src=""ug-map-antarctica-nobox.png"" />",UG::Continents
319,Saint Martin,Overseas territory of France.,Marigot,,,,,"<img src=""ug-map-saint_martin.png"" />",UG::Caribbean UG::North_America
320,Saint Barthélemy,Overseas territory of France.,Gustavia,,,,,"<img src=""ug-map-saint_barthelemy.png"" />",UG::Caribbean UG::North_America
